2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for WLDUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 WLDUSDT OI: Current=46010091, Delta=11820, DOI%=0.03%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for SEIUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 SEIUSDT OI: Current=132099586, Delta=-71338, DOI%=-0.05%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for PYTHUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 PYTHUSDT OI: Current=76156539, Delta=-39383, DOI%=-0.05%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for CAKEUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 CAKEUSDT OI: Current=8814356, Delta=1699, DOI%=0.02%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for KASUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 KASUSDT OI: Current=85471169, Delta=-60615, DOI%=-0.07%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for ARKMUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 ARKMUSDT OI: Current=16027132, Delta=2358, DOI%=0.01%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for 1000BONKUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 1000BONKUSDT OI: Current=1668238894, Delta=1458321, DOI%=0.09%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for TIAUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 TIAUSDT OI: Current=32297838, Delta=-7885, DOI%=-0.02%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for SUPERUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 SUPERUSDT OI: Current=12367309, Delta=3079, DOI%=0.02%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for JTOUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 JTOUSDT OI: Current=8741632, Delta=28650, DOI%=0.33%
2025-10-19 05:15:28 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - COMPUSDT 15m
2025-10-19 05:15:28 EEST | INFO     | trading_bot | Saved 2 klines for COMPUSDT 15m
2025-10-19 05:15:28 EEST | INFO     | trading_bot | Downloading historical klines for COMPUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:28 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DOGEUSDT 15m
2025-10-19 05:15:28 EEST | INFO     | trading_bot | Saved 2 klines for DOGEUSDT 15m
2025-10-19 05:15:28 EEST | INFO     | trading_bot | Downloading historical klines for DOGEUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ⏰ Next candle close: 15m at 02:30 UTC (+6s = 02:30:06) | Waiting 878s
2025-10-19 05:15:28 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ALGOUSDT 1h
2025-10-19 05:15:28 EEST | INFO     | trading_bot | Saved 1 klines for ALGOUSDT 1h
