2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.24s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2971+0, binance=0 (diff: -2971)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.24s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=0+0, binance=2981 (diff: +2981)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:05:07 (1920s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.24s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2981+0, binance=0 (diff: -2981)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1440s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.24s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.24s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.25s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:05:07 (1920s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.25s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=0+0, binance=2982 (diff: +2982)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:05:07 (1920s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.25s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2982+0, binance=0 (diff: -2982)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:03:07 (1800s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.25s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:01:07 (1680s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.25s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.25s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1440s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.26s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.26s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.26s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1438s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.53s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:05:07 (1918s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.56s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:01:07 (1678s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.63s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:01:07 (1678s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.66s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1438s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.66s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:53:07 (1198s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.66s
2025-10-14 12:33:09 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=0+0, binance=2992 (diff: +2992)
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:07:09 (2040s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.66s
2025-10-14 12:33:09 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2992+0, binance=0 (diff: -2992)
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1438s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.66s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1438s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.67s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:53:07 (1198s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.67s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1078s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.69s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1438s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.69s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:53:07 (1198s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.69s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1078s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.69s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1078s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.72s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:03:07 (1798s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.72s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:55:07 (1318s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.72s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1078s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.73s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:59:07 (1558s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.73s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:55:07 (1318s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.73s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:55:07 (1318s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.73s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:01:07 (1678s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.73s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1078s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.73s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:55:07 (1318s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.75s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:03:07 (1798s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.75s
