2025-10-20 11:59:03 EEST | INFO     | trading_bot | Downloading historical klines for OPUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - OPUSDT 15m
2025-10-20 11:59:03 EEST | INFO     | trading_bot | Saved 0 klines for OPUSDT 15m
2025-10-20 11:59:03 EEST | INFO     | trading_bot | Downloading historical klines for OPUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:04 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - OPUSDT 1h
2025-10-20 11:59:04 EEST | INFO     | trading_bot | Saved 0 klines for OPUSDT 1h
2025-10-20 11:59:04 EEST | INFO     | trading_bot | Downloading historical klines for OPUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:04 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - OPUSDT 4h
2025-10-20 11:59:04 EEST | INFO     | trading_bot | Saved 0 klines for OPUSDT 4h
2025-10-20 11:59:04 EEST | INFO     | trading_bot | Downloading historical klines for OPUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:04 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - OPUSDT 1d
2025-10-20 11:59:04 EEST | INFO     | trading_bot | Saved 0 klines for OPUSDT 1d
2025-10-20 11:59:04 EEST | INFO     | trading_bot | Downloading historical klines for INJUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:05 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - INJUSDT 15m
2025-10-20 11:59:05 EEST | INFO     | trading_bot | Saved 0 klines for INJUSDT 15m
2025-10-20 11:59:05 EEST | INFO     | trading_bot | Downloading historical klines for INJUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:05 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - INJUSDT 1h
2025-10-20 11:59:05 EEST | INFO     | trading_bot | Saved 0 klines for INJUSDT 1h
2025-10-20 11:59:05 EEST | INFO     | trading_bot | Downloading historical klines for INJUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:05 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - INJUSDT 4h
2025-10-20 11:59:05 EEST | INFO     | trading_bot | Saved 0 klines for INJUSDT 4h
2025-10-20 11:59:05 EEST | INFO     | trading_bot | Downloading historical klines for INJUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:06 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - INJUSDT 1d
