2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 12:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 12:00:00+00:00 to 2025-10-17 11:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 13:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 13:00:00+00:00 to 2025-10-17 12:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 14:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 14:00:00+00:00 to 2025-10-17 13:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 15:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 15:00:00+00:00 to 2025-10-17 14:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 16:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 16:00:00+00:00 to 2025-10-17 15:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 17:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 17:00:00+00:00 to 2025-10-17 16:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 18:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 18:00:00+00:00 to 2025-10-17 17:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 19:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 19:00:00+00:00 to 2025-10-17 18:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 20:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 20:00:00+00:00 to 2025-10-17 19:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 21:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 21:00:00+00:00 to 2025-10-17 20:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 22:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 22:00:00+00:00 to 2025-10-17 21:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 23:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 23:00:00+00:00 to 2025-10-17 22:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 00:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 00:00:00+00:00 to 2025-10-17 23:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 01:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 01:00:00+00:00 to 2025-10-18 00:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 04:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 04:00:00+00:00 to 2025-10-18 03:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 05:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 05:00:00+00:00 to 2025-10-18 04:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 06:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 06:00:00+00:00 to 2025-10-18 05:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 06:00:00+00:00 (-1 candles)
