2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:33:39 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:33:39 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:33:39 EEST | INFO     | 
================================================================================
2025-10-11 11:33:39 EEST | INFO     | 🔍 АНАЛИЗ: BNBUSDT | Режим: SQUEEZE | Bias: neutral
2025-10-11 11:33:39 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:33:39 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
