2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 10:15:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 10:15:00+00:00 to 2025-10-22 10:00:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 10:30:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 10:30:00+00:00 to 2025-10-22 10:15:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 10:45:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 10:45:00+00:00 to 2025-10-22 10:30:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 12:00:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 12:00:00+00:00 to 2025-10-22 11:45:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 12:15:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 12:15:00+00:00 to 2025-10-22 12:00:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 13:15:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 13:15:00+00:00 to 2025-10-22 13:00:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 13:30:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 13:30:00+00:00 to 2025-10-22 13:15:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot |   [1/4] ✅ COAIUSDT 15m: all 10 gaps fixed
2025-10-23 02:13:16 EEST | INFO     | trading_bot |   [2/4] 🔄 COAIUSDT 1h - updating from 2025-10-22 21:01
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-22 21:01:00+00:00 to 2025-10-22 23:13:15.759171+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 1 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | WARNING  | trading_bot |   [2/4] ⚠️ COAIUSDT 1h: 26 internal gaps detected
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 04:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 04:00:00+00:00 to 2025-10-18 03:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 05:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 05:00:00+00:00 to 2025-10-18 04:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 06:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 06:00:00+00:00 to 2025-10-18 05:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 07:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 07:00:00+00:00 to 2025-10-18 06:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 08:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 08:00:00+00:00 to 2025-10-18 07:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 09:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 09:00:00+00:00 to 2025-10-18 08:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 10:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 10:00:00+00:00 to 2025-10-18 09:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 11:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 11:00:00+00:00 to 2025-10-18 10:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 12:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 12:00:00+00:00 to 2025-10-18 11:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 13:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 13:00:00+00:00 to 2025-10-18 12:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 14:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 14:00:00+00:00 to 2025-10-18 13:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 15:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 15:00:00+00:00 to 2025-10-18 14:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 16:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 16:00:00+00:00 to 2025-10-18 15:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 1h at 2025-10-18 17:00:00+00:00 (-1 candles)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 1h from 2025-10-18 17:00:00+00:00 to 2025-10-18 16:00:00+00:00 (1 days)
2025-10-23 02:13:17 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 1h
