2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 00:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 00:00:00+00:00 to 2025-10-19 23:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 00:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 00:15:00+00:00 to 2025-10-20 00:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 00:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 00:30:00+00:00 to 2025-10-20 00:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 00:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 00:45:00+00:00 to 2025-10-20 00:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 01:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 01:00:00+00:00 to 2025-10-20 00:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 01:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 01:15:00+00:00 to 2025-10-20 01:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 01:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 01:30:00+00:00 to 2025-10-20 01:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 01:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 01:45:00+00:00 to 2025-10-20 01:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 02:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 02:00:00+00:00 to 2025-10-20 01:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 02:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 02:15:00+00:00 to 2025-10-20 02:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 02:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 02:30:00+00:00 to 2025-10-20 02:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 02:45:00+00:00 (-1 candles)
