2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SKATEUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for SKATEUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SKATEUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SKATEUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SKATEUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SKATEUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SQDUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for SQDUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SQDUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SQDUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SQDUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SQDUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PUMPBTCUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for PUMPBTCUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SPKUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for SPKUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SPKUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SPKUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - KAITOUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for KAITOUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SPKUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SPKUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HEIUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for HEIUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VINEUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for VINEUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MYXUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for MYXUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for SUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - KMNOUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for KMNOUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - AIXBTUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for AIXBTUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - KMNOUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for KMNOUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VINEUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for VINEUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SPXUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SPXUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - IPUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for IPUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BIOUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for BIOUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TRUMPUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for TRUMPUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=1491+0, binance=1431 (diff: -60)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SPXUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for SPXUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=1431+0, binance=1501 (diff: +70)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - AIXBTUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for AIXBTUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MYXUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for MYXUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for HUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for HUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MYXUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for MYXUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - IPUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for IPUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for HUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SAHARAUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for SAHARAUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SAHARAUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SAHARAUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SAHARAUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for SAHARAUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ICNTUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for ICNTUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ICNTUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for ICNTUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ICNTUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for ICNTUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PUMPUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for PUMPUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PUMPUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for PUMPUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PUMPUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for PUMPUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VELVETUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for VELVETUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VELVETUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for VELVETUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VELVETUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for VELVETUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | 🔍 Checking 8 active AP signals for exit conditions
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for ZORAUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for ZORAUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.581642+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for ZORAUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for ZORAUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.583640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for TREEUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for TREEUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.585640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for TREEUSDT 1h from 2025-10-18 06:01:00+00:00
