2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.16s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:35:05 (231s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.16s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:41:05 (591s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.16s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:33:05 (111s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.16s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:41:05 (591s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.16s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:41:05 (591s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.16s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:35:05 (231s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.16s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:39:05 (471s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:43:05 (711s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:37:05 (351s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:35:05 (231s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:37:05 (351s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:43:05 (711s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:35:05 (231s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:35:05 (231s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:43:05 (711s)
2025-10-14 10:31:14 EEST | WARNING  | trading_bot | Rate limit hit (attempt 4/5), backing off for 8.18s
2025-10-14 10:31:14 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 10:39:05 (471s)
