Номер;Время (Киев);Монета;Направление;Entry;Stop Loss;Take Profit 1;Take Profit 2;Exit;PnL %;Score
55;17.10.2025 19:42:29;ALICEUSDT;LONG;0.3953;0.3853;0.4103;0.4203;0.3853;-2.53;13.5
56;19.10.2025 06:38:49;MAGICUSDT;SHORT;0.1405;-;-;-;0.1413;-0.56;-
57;19.10.2025 06:39:51;SKYAIUSDT;SHORT;0.0244;-;-;-;0.0247;-1.02;-
58;19.10.2025 11:15:43;ZORAUSDT;SHORT;0.0915;0.0928;0.0896;0.0884;0.0928;-1.38;6.6
59;20.10.2025 02:50:05;XPINUSDT;LONG;0.0044;0.0043;0.0047;0.0048;0.0043;-3.35;14.0
60;20.10.2025 04:04:40;SLERFUSDT;LONG;0.0683;0.0670;0.0704;0.0717;0.0670;-1.96;7.2
61;20.10.2025 04:42:16;ZECUSDT;LONG;240.6000;236.4688;246.7968;250.9280;236.4688;-1.72;4.1
62;20.10.2025 05:39:14;DAMUSDT;SHORT;0.0517;0.0525;0.0504;0.0496;0.0525;-1.64;7.3
63;20.10.2025 07:44:42;TAOUSDT;SHORT;434.5100;438.7502;428.1497;423.9096;438.7502;-0.98;5.7
64;20.10.2025 07:53:08;SLERFUSDT;LONG;0.0705;0.0692;0.0725;0.0738;0.0692;-1.83;7.1
65;20.10.2025 08:23:34;XMRUSDT;SHORT;315.8200;317.1038;313.8943;312.6104;317.1038;-0.41;4.7
66;20.10.2025 08:23:59;ZECUSDT;LONG;245.8300;241.6520;252.0970;256.2750;241.6520;-1.70;7.6
67;20.10.2025 09:06:33;EIGENUSDT;SHORT;1.1213;1.1340;1.1023;1.0897;1.1340;-1.13;10.0
68;20.10.2025 09:41:13;BNBUSDT;LONG;1135.2200;1128.9725;1144.5913;1150.8388;1128.9725;-0.55;7.1
69;20.10.2025 14:04:47;BCHUSDT;LONG;482.7500;480.7886;485.6920;487.6534;480.7886;-0.41;12.6
70;20.10.2025 16:03:07;INUSDT;SHORT;0.1442;0.1456;0.1421;0.1407;0.1456;-0.97;7.3
71;20.10.2025 16:03:29;USELESSUSDT;SHORT;0.3382;0.3447;0.3284;0.3219;0.3447;-1.92;5.0
72;21.10.2025 03:18:58;XMRUSDT;SHORT;307.3200;309.5443;303.9836;301.7593;309.5443;-0.72;7.5
73;21.10.2025 03:47:48;PEOPLEUSDT;LONG;0.0127;0.0126;0.0128;0.0128;0.0126;-0.50;7.0
74;21.10.2025 03:47:49;MAGICUSDT;LONG;0.1486;0.1478;0.1499;0.1507;0.1478;-0.55;9.3
75;21.10.2025 04:37:46;POLUSDT;LONG;0.2004;-;-;-;0.1996;-0.40;-
76;21.10.2025 04:52:35;CELOUSDT;LONG;0.2490;-;-;-;0.2453;-1.50;-
77;21.10.2025 04:53:40;TAUSDT;LONG;0.0504;-;-;-;0.0498;-1.16;-
78;21.10.2025 05:11:01;TAOUSDT;LONG;425.5020;-;-;-;419.4062;-1.43;-
79;21.10.2025 05:33:46;PROVEUSDT;SHORT;0.7613;-;-;-;0.7670;-0.75;-
80;21.10.2025 05:40:51;TRBUSDT;LONG;26.1061;25.9044;26.4085;26.6101;25.9044;-0.77;6.8
81;21.10.2025 05:42:11;OGUSDT;LONG;18.0966;18.0110;18.2251;18.3107;18.0110;-0.47;4.1
82;21.10.2025 05:42:21;TAUSDT;LONG;0.0520;0.0513;0.0531;0.0538;0.0513;-1.39;4.0
83;21.10.2025 07:04:12;BTCUSDT;SHORT;108670.1401;111801.4304;105538.8498;102407.5595;111801.4304;-2.88;3.8
84;21.10.2025 07:04:44;ARBUSDT;SHORT;0.3141;0.3293;0.2989;0.2836;0.3293;-4.85;3.8
85;21.10.2025 07:04:45;ORDIUSDT;SHORT;5.1660;5.4505;4.8815;4.5970;5.4505;-5.51;3.8
86;21.10.2025 07:04:45;ONDOUSDT;SHORT;0.7318;0.7759;0.6877;0.6435;0.7759;-6.03;3.8
87;21.10.2025 07:05:17;NILUSDT;SHORT;0.2838;0.2875;0.2782;0.2745;0.2875;-1.31;7.3
88;21.10.2025 07:05:24;TAUSDT;LONG;0.0495;0.0487;0.0507;0.0515;0.0487;-1.62;3.5
89;21.10.2025 07:16:30;SANDUSDT;SHORT;0.2077;0.2181;0.1974;0.1870;0.2181;-4.99;3.2
90;21.10.2025 07:16:57;TWTUSDT;SHORT;1.2716;1.2792;1.2602;1.2526;1.2792;-0.60;7.7
91;21.10.2025 07:17:31;MYXUSDT;LONG;2.7540;2.7185;2.8073;2.8428;2.7185;-1.29;5.2
92;21.10.2025 07:31:56;EDUUSDT;SHORT;0.1629;0.1646;0.1604;0.1588;0.1646;-1.02;11.0
93;21.10.2025 07:46:29;XMRUSDT;SHORT;302.9000;305.2402;299.3897;297.0496;305.2402;-0.77;7.3
94;21.10.2025 07:47:25;TRUMPUSDT;SHORT;5.8367;5.8589;5.8033;5.7810;5.8589;-0.38;10.3
95;21.10.2025 07:47:25;BERAUSDT;SHORT;1.8683;1.8869;1.8403;1.8216;1.8869;-1.00;10.5
96;21.10.2025 08:02:32;ATOMUSDT;SHORT;3.1810;3.1970;3.1570;3.1409;3.1970;-0.50;12.8
97;21.10.2025 08:02:32;DOTUSDT;SHORT;2.9607;2.9783;2.9342;2.9166;2.9783;-0.60;12.8
98;21.10.2025 08:03:03;PENDLEUSDT;SHORT;3.0859;3.1070;3.0543;3.0333;3.1070;-0.68;12.8
99;21.10.2025 08:03:35;B2USDT;SHORT;1.6581;1.6846;1.6183;1.5918;1.6846;-1.60;11.6
100;21.10.2025 08:03:35;MORPHOUSDT;SHORT;1.8285;1.8443;1.8048;1.7891;1.8443;-0.86;6.1
101;21.10.2025 08:03:35;PENGUUSDT;SHORT;0.0214;0.0215;0.0211;0.0210;0.0215;-0.76;12.3
102;21.10.2025 08:03:35;NILUSDT;SHORT;0.2833;0.2879;0.2763;0.2717;0.2879;-1.63;7.2
103;21.10.2025 08:12:55;MORPHOUSDT;LONG;1.9092;-;-;-;1.8224;-4.55;-
104;21.10.2025 08:33:07;MORPHOUSDT;SHORT;1.8472;1.8634;1.8229;1.8067;1.8634;-0.88;6.1
105;21.10.2025 08:47:06;XMRUSDT;SHORT;305.5400;307.7668;302.1997;299.9729;307.7668;-0.73;7.3
